Ranking,Nombre,Cargo,Patrimonio_Mill.euros,Ranking_2017,Ranking_Sexo,Ranking_CCAA,Valor_bolsa.100,Variacion_patrimonio.100,Variacion_patrimonio,Sector,Empresas,Descripcion,CCAA,Familia
153,Josep Terradellas Arcarons,Dueño de Casa Tarradellas,310,150,64,45,1.1,10.7,30,"Alimentación, Cárnica",Casa Tarradellas,"La catalana Casa Tarradellas está entre las 20 marcas de comida con más penetración en los hogares españoles.                                En 1997 lanzó al mercado su primera pizza refrigerada. Hoy es su producto estrella, por delante de sus fuets y patés. El negocio emplea a 1.800 empleados y mueve 860 millones (2016).                                Ha completado sus plantas de procesado cárnico con otras de bases de pan y de almacenaje de harina ('El Molino'). En total, suma 11 fábricas en Gurb, Vic y Olost.                                En 2016 eliminó la localidad y la provincia de procedencia de los productos, aunque la empresa descartó motivaciones políticas. Josep Tarradellas nunca se ha pronunciado sobre sus opiniones políticas.                            ",Cataluña,NA
152,José Silveira Cañizares,Dueño del Grupo Nosa Terra,310,138,73,11,0,3.3,10,Transporte,"Grupo Nosa Terra, Naviera Elcano","A Nosa Terra 21, el hólding de Silveira (75%) consolida un negocio de 585,4 millones (2016).                                No sin razón, Silveira define Vigo como ""la mayor ciudad pesquera de toda Europa"". Allí ubica sus dos negocios marinos, la remolcadora Remolcanosa y la naviera Elcano.                                El grupo es el propietario de Povisa, un hospital con 45 años de historia donde trabajan 1.500 profesionales. Sus 700 camas lo convierten en el hopital más grande de España. Su hijo José Bernardo Silveira Martín está al cargo de la gestión.                                Un 26% del grupo está en poder de la familia Pintado García, heredera del empresario Antonio Pintado, vinculado a Povisa.                            ",Galicia,NA
151,Familia De Andrés Puyol,Accionistas de Medcap Real Estate Socimi,310,126,63,10,3.3,-4.6,-15,Inmuebles,Medcap Real Estate,"Los valencianos De Andrés llevaban operando en el sector inmobiliario de forma silenciosa desde los años noventa.                                En 2015 salieron del anonimato y constituyeron la socimi Medcap Real Estate, valorada en 290 millones.                                En 2017, vendió uno de sus activos estrella, (Gran Vía, 21), por 110 millones, que aloja la mayor tienda de Adidas en Madrid.                                Dimas de Andrés Puyol, hijo del fundador, lleva las riendas de la inmobiliaria, que reparte sus activos -locales comerciales y hoteles- por Madrid, Barcelona, Valencia y Murcia.                            ",Comunidad Valenciana,NA
150,Eugenio Galdón Brugarola,Ex presidente de ONO,310,139,62,6,11.9,3.3,10,Telecomunicaciones,"ex Ono, Multitel, Grupo Multitel","Lideró Altán Redes, el consorcio que en 2016 ganó un contrato millonario (7.500 millones de dólares) para extender internet de alta velocidad móvil por todo México. Posee el 3,4% y comparte accionariado con fondos de Morgan Stanley, el Banco Mundial, un banco de Québec y el mexicano Miguel S. Escobedo.                                En septiembre dejó la presidencia de Altán, quedando como consejero y socio. Ostenta su participación a través de la sociedad madrileña Isla Guadalupe Investments SL.                                En 2014 obtuvo unos 270 millones por su participación (en torno al 7,8%) en ONO, la operadora de cable que fundó en 1994 y acabó en manos de Vodafone.                                Controla desde Luxemburgo el Grupo Multitel, la sociedad que aglutina sus inversiones en telecomunicaciones, energía e infraestructuras. La sicav Cross Roads, que preside, suma 44 millones (sep 2017).                                En 2016 lanzó la comercializadora de energía limpia Podo, junto a Juan Béjar (ex FCC).                            ",Murcia,NA
149,Familia Serra,Accionistas de control de Fluidra,310,NA,72,44,80.9,NA,NA,Industria,Fluidra,"En noviembre de 2017 anunció la absorción de Zodiac Pool Solutions, conocida por sus motores fueraborda. La operación, prevista para antes de junio de 2018, dobla el tamaño de la compañía de piscinas y tratamiento de aguas.                                La empresa de Sabadell fue en 2017 la niña bonita de la Bolsa. Se revalorizó un 177%, alcanzando un valor de 1.330 millones.                                La nueva Fluidra sumará 5.500 trabajadores, opera en los cinco continentes (45 países) y tendrá una subsede en San Diego (California).                                Boyser y Edrem, las firmas de cabecera de los Serra, controlan el 27,9% de Fluidra, que pasará al 15% cuando se cierre la fusión. Parte de los títulos forman parte de un pacto de control junto a las familias Planes y Garrigós, renovado en noviembre de 2017.                            ",Cataluña,NA
148,Familia Loriente Piqueras,Dueños de Incarlopsa,320,NA,71,2,0,NA,NA,"Alimentación, Cárnica",Incarlopsa,"Mercadona catapultó al éxito a la cárnica Incarlopsa, de la familia Loriente Piqueras, asentada en Tarancón, que factura 530 millones (2016).                                La cárnica está en manos de tres hermanos -Emilio, Clemente, Jesús Loriente Piqueras- y los hijos de un cuarto, Moisés, fallecido en 2013.                                Cada rama familiar dispone de su propia patrimonial, cada una de ellas con un patrimonio en torno a los 80 millones de euros.                                Incarlopsa reparte sus 1.200 trabajadores en seis centros de producción en Tarancón (Cuenca), Olías del Rey y Corral de Almaguer (Toledo) y Guijuelo (Salamanca).                                La familia es propietaria también de la promotora Lorfam, que opera en Tarancón y de una empresa de energías renovables.                            ",Castilla-La Mancha,NA
147,Hermanos Pascual Sánchez Gijón,Dueños de Clínica San Rafael,320,131,70,10,12,6.7,20,"Salud, Hospitales",Clínica San Rafael,"Los ocho hijos del doctor José Manuel Pascual, fallecido en 1989, gestionan el grupo de asistencia hospitalaria Pascual, el mayor grupo sanitario andaluz.                                En verano de 2017 abrió su séptimo hospital, el Virgen de la Bella, en Lepe (Huelva), que de momento ofrece servicios de Urgencias.                                El grupo nació hace 60 años en torno a la clínica San Rafael de Cádiz. Hoy gestiona 1.300 camas en hospitales en Cádiz, Huelva y Málaga y genera un negocio de 200 millones (2016).                                Uno de los hermanos, el oftalmólogo Salvador Pascual (1955), es cónsul de honor de Israel en Huelva y Extremadura.                            ",Andalucía,NA
146,Familia Berruezo Segura,Propietario de Promobys,320,121,61,9,0,-8.6,-30,"Construcción, Agricultura",Promobys,"Controla el Grupo Promobys, dueño de residencias de estudiantes, una cartera de suelo, plantas solares y promociones de viviendas en Sevilla, Granada, Almería y Murcia.                                Su división agrícola se dedica a la compra venta de fincas y la producción de vino. Posee posee una finca de 500 hectáreas de almendros en Guadix (Granada) y otra de 80 hectáreas de olivar en el valle del Almanzora.                                Urbanización Torreverde, administrada por su hijo, Javier Berruezo Segura, es su sociedad más nutrida, con un patrimonio neto de 246 millones.                            ",Andalucía,NA
145,Juan Miguel Sanjuán y Jover,Presidente del Grupo Satocan y consejero de Sacyr,320,131,60,2,13.6,-1.5,-5,"Construcción, Contratas, Turismo","Grupo Satocán, Sacyr","Controla junto a su familia y su socio Julio Artiles el Grupo Satocán, una de las grandes constructoras y concesionarias de Canarias.                                En Sacyr, donde opcupa un puesto de consejero desde 2013, controla el 2,6%, paquete que tiene sindicado con su socio Demetrio Carceller.                                Parte del patrimonio de Satocán es hotelero. Participa en el Hotel Sheraton y el resort aledaño (Salobre Golf), Marina, y el Gold, todos en la isla de Gran Canaria.                                Su socio José Julio Artiles figura en la filtración periodística 'Papeles del Paraíso' (Paradise Papers) como propietario de Arsa Limited, ubicada en las Islas Caimán.                            ",Canarias,NA
144,Alfonso Soláns Soláns,Propietario de Pikolín,330,125,59,3,0,1.5,5,Industria,Pikolín,"La familia Soláns controla el Grupo Pikolín, segundo fabricante de colchones de Europa. Sus principales mercados son España (Pikolín y Pardo) Francia, donde su participada Cofel (50%) es la marca líder.                                En Asia opera con la marca Dunlopillo, que se extiende por Malasia, China, Singapur y Vietnam.                                El resto de inversiones familiares se canalizan a través de Grupoiberebro, su rama inmobiliaria, hotelera (Monasterio de Boltaña) y de servicios, y GrupoEbrosol, con participaciones en renovables y negocios inmobiliarios.                                Pikolín fue fundada en 1948 en Zaragoza por Alfonso Soláns Serrano. En 2017 estrenó su megacomplejo logístico-industrial en el que ha invertido más de 50 millones de euros.                            ",Aragón,NA
143,Familia Egaña Garitagoitia,Accionistas de Cie Automotive,330,158,69,13,91.6,26.9,70,"Industria, Automoción",Cie Automotive,"Las hijas del industrial Javier Egaña se reparten la cartera Elidoza, que contiene el 9,6% del fabricante vasco de componentes para automóviles Cie Automotive.                                Hace un lustro, el grupo industrial valía en Bolsa 950 millones de euros. Al cierre de 2017 superaba los 3.100 millones, tras revalorizarse un 35% en el año.                                El capital del grupo tiene un reparto de lujo. En él participan los hermanos Riberas (Gestamp), la familia Salegui, Javier Pradera, los March, la gestora de fondos Alantra y la firma india Mahindra.                                Goizalde Egaña representa a la familia en el Consejo de Administración, donde ejerce como vicepresidenta primera desde el año 2002.                            ",País Vasco,NA
142,Javier Juncadella Salisachs y familia,Accionista de Catalana Occidente,330,130,68,43,78.7,1.5,5,"Finanzas, Seguros",Catalana Occidente,"En Catalana Occidente reposa la herencia que el industrial José María Juncadella i Burés y Mercedes Salisachs, premio Planeta en 1975, fallecida en 2014, dejaron a sus cuatro hijos y 15 nietos.                                Juntos regentan entre el 6% y 8% de Catalana Occidente. Parte de este paquete está camuflado en las sociedades controladas por la familia Serra.                                JS Invest y Jusal, las dos compañías señeras de la familia, se reservan dos sillones en el Consejo de Catalana Occidente, que ocupan Javier Juncadella Salisachs (vicepresidente) y su hijo Javier Juncadella Sala.                                Además de GCO, la familia es dueña de inmuebles. La sociedad Esquilo SL explota en alquiler Paseo de Gracia 37, que aloja en sus bajos la conocida brasería Tenorio.                            ",Cataluña,Familia
141,Hermanos Carrión Cáceres,Dueños de Transportes J. Carrión,330,143,67,8,14.3,13.8,40,Transporte,Transportes J. Carrión,"Transportes J. Carrión, en manos de Miguel Carrión Cáceres, es la marca más conocida de los negocios de los tres hermanos almerienses.                                La compañía de transportes (800 camiones) de Huércal de Almería ha cumplido 40 años. Urciter, su matriz, factura 240 millones.                                En 2016, Juan Carrión compró los concesionarios Veinsur (los concesionarios Volvo Trucks para Andalucía y Cataluña) a su hermano Miguel.                                Gespater, la patrimonial de Juan Carrión, posee la mayor almazara de Almería, situada en el desierto de Tabernas. También entró en el capital de Cajamar (0,3%).                            ",Andalucía,NA
140,Ángel Soria Vaquerizo,Propietario de Torre Rioja,330,NA,58,31,1.6,NA,NA,Inmuebles,Torre Rioja Madrid,"Controla Torre Rioja Madrid, quizás la más silenciosa de las grandes inmobiliarias de la capital de España.                                Su cartera se reparte entre seis grandes edificios de oficinas, dos hoteles de cuatro estrellas, 8 solares para oficinas y 3.000 plazas de párking en explotación.                                Sus inmuebles se localizan, en su mayoría, en los ejes del Paseo de la Castellana, Avenida de América y García Noblejas.                                Ra SL, Global inversiones y Adquisiciones SL y la sociedad holandesa Matra Investments BV son las instrumentales que se reparten la inmobiliaria, con sede en la calle Mesena de Madrid.                                En Bolsa, Soria participa en una sicav, en la Cartera Rea (12,5%) y, desde octubre de 2017, en Tubacex, donde declara un 3%.                            ",Madrid,NA
139,Albert Costafreda Jo y hermanos,Ex propietarios de Panrico,340,NA,66,42,12.4,NA,NA,"Alimentación, Inmuebles","ex Panrico, Universal Panadería y Bollería (UPB)","En 2005, los hijos de del panadero ilerdense Andreu Costafreda (fallecido en 1998) vendieron a un fondo de inversión su legado, la empresa Panrico, e ingresaron 300 millones. Costafreda había creado en los sesenta la firma Donut Corporation Española.                                Los hermanos Albert, Andreu y Joan Lluís compartieron el botín, depositado en la sociedad Universal de Panadería y Bollería (UPB), donde Albert Costafreda, artífice de la venta de Panrico, controla el 77%.                                Gran parte de lo obtenido en la operación está en poder de una de sus filiales, la holandesa Lat 53 BV, que guarda de 183 millones (2016).                                Andreu y Joan Lluís Costafreda tienen abierta una causa judicial contra su hermano Albert, que se reserva el control de la sociedad holandesa.                                Los hermanos invierten en diversas sicav que suman 40 millones.                            ",Cataluña,NA
138,Ramón Miquel Ballart y familia,Ex propietarios del Grupo Miquel Alimentació,340,115,65,41,3.2,-9.3,-35,Alimentación,ex Grup Miquel Alimentació,"La familia Miquel vendió en 2015 su cadena de distribución mayorista al grupo chino Bright Foods por unos 250 millones.                                Miquel Alimentació es el principal franquiciado en España de los supermercados Spar y explota las enseñas Suma y Gross Mercat.                                Los Miquel se quedaron con los inmuebles en propiedad del grupo, controlados por la sociedad Invermink Inmobles.                                Cinco sociedades de la familia se reparten lo obtenido en la operación. Las regentan Ramón Miquel y sus sobrinos, los hijos de Josep y Amadeu Miquel Ballart.                                Los Miquel mantienen el 30% del capital en el supermercado online Ulabox.                            ",Cataluña,Familia
137,Familia Fernández Fermoselle,Propietarios de Naropa Capital,340,114,64,30,0,-15,-60,Inmuebles,Naropa Capital,"La familia vallisoletana vendió la inmobiliaria Parquesol en pleno pico de la burbuja. Hoy sitúa sus negocios en el barrio de Aravaca (Madrid).                                Los cuatro hermanos se reparten la inmobiliaria Naropa, con activos en Madrid y Burgos.                                En 2016 dieron de baja sus sicav, donde guardaban 42 millones.                                Marcos Fernández y sus tres hermanos dirigen la Fundación Vistare, enfocada al desarrollo de las niñas y con proyectos en Nepal.                            ",Madrid,NA
136,Pedro Alonso Agüera,Ex propietario de Infun,350,180,57,40,0,59.1,130,"Industria, Automoción",ex Infun,"Las cuentas anuales de AM Gestió, la patrimonial del industrial catalán Pedro Alonso Aguera, registraron el año pasado una inyección extra de 248 millones de euros fruto de la venta de Infun, su fábrica de componentes para automóviles.                                Alonso era un ingeniero y empresario desconocido hasta el 23 de noviembre de 2016, cuando la mexicana Grupo Internacional Saltillo (GISSA) compró Infun.                                En abril se incorporó al Consejo de Administración de GISSA, propiedad de la familia López Zertuche.                                Infun, un rentable fabricante de componentes para automóviles de Sant Vincenç dels Horts (Barcelona), con plantas en Teruel, China e Italia, ocupa a 720 personas y factura más de 200 millones al año.                                Pedro Alonso y sus hijos comparten ahora inversiones en renovables y la sociedad Mersan Invest.                            ",Cataluña,NA
135,Familias Ucín Aramendi y Guibert,Propietarios de Calpenor y Bodegas Olarra,350,159,63,12,6,34.6,90,"Industria, Metalurgia, Vino","Calpenor, Bodegas Olarra","En febrero de 2017 falleció a los 91 años Pedro Ucín Aramendi, de Azpeitia, figura clave durante años de los negocios de la familia Ucín, ligados a la acerera Marcial Ucín, fundada por su padre.                                Tres ramas familiares, lideradas por los Guibert Ucín, se reparten su legado: Calpenor, las Bodegas Olarra, Atusa, la metalúrgica Rugui Steel, el gestor portuario Algeposa, Bascotenia y la inmobiliaria Antiguo Berri, que opera en San Sebastián e Irún.                                María Luisa Guibert Ucín, hija del industrial Jesús Guibert y de Elena Ucín, es consejera de la papelera vasca Iberpapel. A su vez, su hermano José María, sacerdote jesuita, es el rector de la Universidad de Deusto.                            ",País Vasco,NA
134,José Domingo Rodríguez Losada y familia,Propietario de Azata Patrimonio,350,116,56,29,0,-6.7,-25,Inmuebles,Azata Patrimonio,"La inmobiliaria Azata disemina su patrimonio por Madrid capital y los municipios de Pozuelo de Alarcón, Las Rozas y Bohadilla del Monte. En 2016 registró unas ventas de 45 millones.                                Fuera de España, Azata participa en dos sociedades en Portugal (una de ellas junto a la constructora San José) y en el Reino Unido (Stoyam Holdings).                                La demolición del polémico Hotel El Algarrobico, en Carboneras (Almería), construido por su filial Azata del Sol y declarado ilegal, podría demorarse hasta seis años. Azata compró los terrenos en 1999 y el hotel fue paralizado en 2002.                                Azata participa en la sociedad Merca Ocio Hoteles 22, implicada en el 'caso Mercamadrid'.                            ",Madrid,Familia
133,Sergio Ferrer-Salat Serra Di Migni y familia,Propietarios de Laboratorios Ferrer,350,122,55,39,0,0,0,"Salud, Laboratorios",Laboratorios Ferrer,"El grupo farmacéutico 100% catalán, dueño de Gelocatil y la familia de fármacos Tarbis, factura en torno a 600 millones, un 50% fuera de España, gracias a 27 filiales internacionales.                                La Fundación Ferrer-Salat, nacida en 1982, impulsa y divulga la música clásica contemporánea. Otorga cada año el Premio Reina Sofía de Composición Musical.                                En octubre, Ferrer-Salat criticó la división de la sociedad catalana en dos mitades ""completamente enfrentadas"" y a los gobernantes catalanes, que se ""se arrogan a hablar en nombre del pueblo catalán"".                                Ferrer posee la bodega Ferrer Bobet, ubicada en Falset, en la comarca del Priorat (Tarragona), y el restaurante Monvínic, en Barcelona.                                En enero de 2018 Ferrer traspasó su filial alemana Trommsdorff, que fabrica medicamentos y suplementos alimenticios, por 100 millones.                            ",Cataluña,Familia
132,Familia Oriol,Accionistas de Talgo y terratenientes,350,120,62,28,25.5,0,0,"Industria, Transporte",Talgo,"Carlos de Palacio Oriol preside Talgo (12%), el buque insignia de la interminable saga de los Oriol. En 2017 cayó un 3,5% en Bolsa.                                El clan ingresó 127 millones en 2015 con la OPV del fabricante de trenes, miembro del consorcio del AVE a La Meca.                                Las seis grandes ramas de los Oriol son también terratenientes. A la Hacienda El Pilar (800 hectáreas), su finca en el noroeste de Madrid, suma otras de gran tamaño en Sevilla (El Esparragal), Badajoz (El Macho) o Toledo (Layos).                                Iñigo Víctor de Oriol Ibarra (1963) ocupa un sillón en el Consejo de Iberdrola (0,02%). Su padre, Iñigo de Oriol (fallecido en 2011), fue clave en el nacimiento de Iberdrola, que presidió entre 1992 y 2005.                            ",Madrid,NA
131,Federico Michavila Heras y familia,Propietaria de Torrecid,360,147,61,9,1.5,24.1,70,"Construcción, Cerámica",Torrecid,"Lleva los negocios de la familia castellonense desde 1978. Torrecid es un gigante mundial de recubrimientos cerámicos, con una facturación de 600 millones de euros (2016).                                Tiene 35 empresas y delegaciones comerciales en 28 países. Vende en 130 países y ocupa a unos 3.000 trabajadores.                                Ha puesto los ojos en China, donde se expande con el objetivo de aumentar su cifra de negocio hasta los 1.000 millones.                                Los Michavila eran accionistas del Banco de Valencia (1,2%) cuando la entidad entró en barrena.                            ",Comunidad Valenciana,Familia
130,Familia Simón,Propietaria de Simon Hólding,360,144,60,38,0.5,20,60,Industria,Simon holding,"El gerundense Arturo Simón Vibet comenzó a construir portalámparas a principios del siglo XX. Fue el germen de Simón, que en 2016 cumplió 100 años.                                El grupo, que cifra su patrimonio neto en 285 millones, se lo reparten dos ramas de los Simón, los dos hermanos Simón Agustí y cinco hermanos Simón Adroher.                                China es su principal mercado, donde tiene más de 2.000 puntos de venta.                                Las 20 empresas del grupo suman un negocio de 308 millones (2016) y confía en alcanzar los 350 millones al cierre de 2018.                            ",Cataluña,NA
129,Manuel Añón Rey,Propietario de Hierros Añón,370,127,54,10,0,13.8,45,"Industria, Metalurgia",Hierros Añón,"En 2017 consolidó su apuesta en Brasil, la Siderúrgica Silat, en Ceará, con una segunda fábrica. Su complejo industrial ocupa 150 hectáreas.                                Hierro Añón, el negocio del empresario de A Laracha mueve 340 millones de euros (2016).                                Hace un lustro perdió 25 millones de euros en NovacaixaGalicia y, entre 2015 y 2016 se dejó otros 11 en el Banco Popular.                                Su filial Inversiones Sarrianas promueve un centro comercial en Oleiros (La Coruña).                            ",Galicia,NA
128,Alfonso Gallardo Díaz,Propietario del Grupo Alfonso Gallardo,370,112,53,1,0,-7.5,-30,"Industria, Metalurgia",Grupo Alfonso Gallardo,"Dos empresas luxemburguesas propiedad de Alfonso Gallardo y su esposa Teresa Ruiz controlan la metalúrgica extremeña Gallardo Balboa, el mayor grupo empresarial de Extremadura.                                En 2013, Gallardo estuvo a punto de la quiebra. Tuvo que desprenderse de sus negocios papelero y cementero, cerró fábricas y vendió sus medios de comunicación.                                Tras una personalista e intuitiva gestión durante seis décadas, en 2015, el industrial jerezano cedió la gestión a Francisco Javier Sánchez, consejero delegado del grupo.                                El grupo factura 400 millones de euros. Siderúrgica Balboa, constituida en 1992 y operativa desde 1996, es su principal centro productivo.                            ",Extremadura,NA
127,Familia Vivancos Muñoz,Ex propietaria de Mivisa,370,118,59,5,35.6,-1.3,-5,Inmuebles,ex Mivisa,"En 2017 falleció Miguel Vivancos. En 2001, el empresario murciano había vendido su fábrica de envases Mivisa a dos firmas de inversión por 213 millones. La había fundado con su hermano Carlos Vivancos en 1972 y llegaría a ser la mayor del país.                                Sus cuatro hijos controlan el hólding Tefim y su filial Hispavima (HVM). Sus cinco sicav invierten 130 millones.                                Parte de su fortuna se reparte entre locales comerciales, oficinas y solares, fincas de cítricos, la envasadora Golden Foods y el fabricante de plásticos Serplosa.                                Hispavima es dueña de locales en calles comerciales de Madrid como Preciados, Fuencarral, Callao, Claudio Coello y Princesa. Además, también cuenta con locales en Murcia.                                El grupo cuenta con 15 millones de metros cuadrados de suelo para uso terciario, residencial y logístico. Impulsa el Parque Logístico del Sureste, en Murcia.                            ",Murcia,NA
126,Josep Palau Mallol y hermanos,Propietarios de Soler & Palau Ventilation Group,370,123,58,37,6.1,5.7,20,Industria,Soler & Palau,"Seis PM, la sociedad que comparten los hermanos Palau Mallol, regenta Soler & Palau Ventilation Group SL, que mueve un negocio de 500 millones (2016).                                En enero de 2018, los Palau trasladaron las sedes de su matriz y del grupo industrial de Barcelona a Pinto (Madrid).                                S&P es uno de los mayores grupos industriales de Cataluña, con 17 fábricas y presencia en más de 90 países.                                En marzo de 2017, la familia dio de baja su sicav, en la que acumulaba 22 millones.                            ",Cataluña,NA
125,Roberto Tojeiro Rodríguez y familia,"Presidente de Gadisa, Intasa y Reganosa",380,145,57,9,0,31,90,Distribución,"Gadisa, Intasa","Gadisa, la empresa que preside Roberto Tojeiro, es la firma de capital gallego que más factura fuera del universo de Inditex, con cerca de 1.200 millones (2016).                                Tres ramas de la familia Tojeiro - Tojeiro Rodríguez, Tojeiro Peleteiro y Tojeiro Rego- se reparten casi dos tercios de la cadena de supermercados, que comparten con la familia Díaz Arnau, García Acebo y Cano Díaz.                                El grupo Gadisa también controla las madereras Intasa e Imegasa y la Regasificadora del Noroeste (33%), en sociedad con la Xunta y Gas Natural.                                Como otras grandes familias gallegas, participó en la privatización de las cajas gallegas y el nacimiento de Novagalicia Banco, operación en la que perdió 11,5 millones.                            ",Galicia,Familia
124,Juan y Pedro Alcaraz Alcaraz,Ex propietarios de Goldcar,380,135,52,8,37.7,26.7,80,Inmuebles,ex Goldcar,"En 2014, los hermanos Alcaraz vendieron el 80% de Goldcar, su empresa de alquiler de vehículos, por 300 millones.                                En 2017, se deshicieron del 20% restante por otros 100 millones. Goldcar nació a mediados de los años 80 en Alicante.                                En poco tiempo, Alcor, su sociedad hólding, ha entrado con brío en el mercado inmobiliario. Su cartera incluye activos en calles señeras de Madrid y Valencia.                                En Bolsa colocan otra gran parte de su patrimonio (140 millones), a través de varias sicav y la socimi Trabajo (10,5%).                            ",Comunidad Valenciana,NA
123,José Moreno Carretero,Socio de Sacyr y dueño de Altec Construcciones,380,NA,51,7,62.5,NA,NA,"Construcción, Contratas","Altec, Sacyr","En mayo de 2017 apenas sumaba el 5% de Sacyr, pero terminó el año controlando el 16,7%, convirtiéndose en el primer socio de la constructora cotizada, por delante de Demetrio Carceller.                                Controla sus títulos en Sacyr -segundo accionista de Repsol (8,2%)- a través de su instrumental Beta Asociados. En Bolsa, también es dueño de la sicav Aecyssa.                                Altec, su constructora, es una de las más prósperas del centro de la península. Opera en Castilla-La Mancha y Valencia.                                Moreno posee un tercio de Altyum (ahora Adiante), investigada en el 'caso Aquamed' por amaño de contratos.                            ",Andalucía,NA
122,Hermanos Ferrero Jordi,"Dueños de Idilia Foods (Nocilla, ColaCao)",390,124,56,36,1.6,20,65,Alimentación,Idilia Foods,"En 2015 se consumó la división salomónica de la catalana Nutrexpa. Los cinco hermanos Ferrero se reparten Idilia, su renovado hólding, valorado en 300 millones.                                El grupo fabrica las marcas Cola Cao, Nocilla, Okey, Paladín y Mesura; factura 173 millones de euros (2016). Junto a Pascual, en 2017 lanzó 'Cola Cao Shake'.                                Idilia trasladó el 11 de noviembre su sede social de Barcelona a Valencia, tras más de 70 años radicada en Cataluña, con el fin ""de mantener la seguridad jurídica para poder seguir trabajando con normalidad"".                                En 2016, vendió su filial china Lao Le Gao al grupo filipino Liwayway, poniendo fin a 25 años de presencia de Cola Cao en el mercado chino.                            ",Cataluña,NA
121,Jorge Arasa Masclans,Accionista mayoritario de Bamesa,400,119,50,35,0,14.3,50,"Industria, Metalurgia",Bamesa Aceros,"Dueño de la acerera Bamesa, uno de los líderes internacionales en suministro de acero plano.                                El sector del acero recupera el pulso tras la crisis y en 2016 la acerera movió un negocio de 1.174 millones.                                Pasó la crisis sin apenas endeudarse y en 2016 logró amortizar la totalidad de su pasivo financiero. Hoy exporta a 50 países y opera en España, Portugal, Francia, Holanda, Rumanía, Turquía, Marruecos, Colombia y Brasil.                                Hasta 2002, la compañía tuvo en su accionariado al grupo francés Usinor, que poseía el 49% antes de la gran fusión de las siderúrgicas europeas.                            ",Cataluña,NA
120,Héctor y Manuel Colonques Moreno,Accionistas de Porcelanosa,400,105,49,7,0,-5.9,-25,"Construcción, Cerámica",Porcelanosa,"Héctor Colonques preside Porcelanosa y junto a su hermano mellizo controla el 45% del capital.                                La azulejera y sus ocho marcas comerciales mueven un negocio de 845 millones (2016).                                Mientras sus socios, el tándem Soriano-Segarra, se dedican a la gestión, los hermanos aportan el glamour y la conexión con las 'celebrities', como el Príncipe de Gales, Isabel Preysler o George Clooney.                                Porcelanosa inauguró en 2016 su tienda bandera en el Edificio Commodore, situado en la Quinta Avenida de Nueva York.                            ",Comunidad Valenciana,NA
119,Jordi Miarnau Montserrat y hermanos,Propietarios de Comsa-Emte,410,86,55,34,0,-21.9,-115,Construcción,Comsa,"La familia Miarnau Banús controla la centenaria constructora y contratista Comsa Corporación de Infraestructuras (70%), en sociedad con la familia Sumarroca (30%).                                El grupo factura 1.028 millones (2016), un 80% entre España y Polonia, y busca a toda costa reducir su deuda.                                Comsa quiere vender sus concesionarias, incluida Cedinsa (22%), que explota las cuatro autopistas del eje del Llobregat. En 2016 vendió la aeronáutica Aritex.                                La familia es dueña de las inmobiliarias Tamisa y Iosa y Crysa, con promociones en España y Portugal, y la hotelera Reside, dueña del Hotel Caribe Resort de Portaventura y varios hoteles más en Tarragona.                            ",Cataluña,NA
118,Familia Reyzábal,Ex propietarios de Inmobiliaria Asón,410,129,54,27,2,26.2,85,Inmuebles,"Reyza 2006, Forter","Cinco ramas familiares se reparten (de forma desigual) el variado patrimonio inmobiliario que aglutinaba la Inmobiliaria Asón, vendida a El Corte Inglés por 400 millones hace doce años.                                Los Reyzábal eran los propietarios del Edificio Windsor, en el centro de Madrid, destruido en un incendio el 12 de febrero de 2005.                                De las sociedades familiares, las mejor alimentadas son NWG (Saralegui Reyzábal), con un patrimonio de 112 millones; Forter y Arconte (Reyzábal Delgado y González Aller Reyzábal); Reyza 2006 (Florentino Reyzábal Larrouy), y Greynver (Reyzábal Haya).                                Forter, de los Reyzábal Delgado, gestiona activos inmobiliarios y espacios publicitarios. Entre otras, es la propietaria de la pantalla de la fachada en el número 5 de Plaza del Callao de Madrid.                                Baréi (Bárbara Reyzábal Aller-Monterde), bisnieta del fundador del emporio de los Reyzábal, representó a España en la edición de Eurovisión de 2016.                            ",Madrid,NA
117,Javier Ormazabal Echevarría y familia,Presidente del Grupo Velatia,420,101,53,11,0,-6.7,-30,Industria,Velatia,"Las once empresas que forman el grupo Velatia, con sede en el Parque Tecnológico de Zamudio, mueven un negocio de 575 millones (2016), un 75% fuera de España.                                Javier Ormazabal lleva las riendas del negocio desde hace 15 años, centrado en equipamientos eléctricos, con una red de 15 fábricas en España, Francia, Alemania, Polonia, Brasil, México y China y una plantilla de 3.000 trabajadores.                                La familia se reparte además la inmobiliaria Careche, con un patrimonio de 40 millones.                            ",País Vasco,Familia
116,Familia Lladró,Fundadores de Lladró,420,113,52,6,6.4,5,20,"Moda, Cerámica",ex Lladró,"En enero de 2017, las fábricas de porcelana de Lladró pasaron a manos del fondo PHI, recogiendo el testigo de la familia fundadora.                                A finales del año fallecía Juan Lladró, uno de los tres hermanos fundadores. Desde 2007, Juan y sus tres hijas (Ángeles, Mari Luz y Rosa) controlaban el 70% de Lladró. El otro 30% se repartía, a partes iguales, entre José (y sus dos hijas) y Vicente Lladró (y sus tres hijos).                                El imperio familiar se extiende por fincas, tiendas, inmuebles, hoteles y otros activos, agrupados en las sociedades Invertige, Agro Inmobiliaria y Altia.                            ",Comunidad Valenciana,NA
